,年,月,日,平均気温,最高気温,最低気温,日照時間
1,2007,3,2,8.5,17.0,1.8,8.6
2,2007,3,3,12.4,17.7,7.2,1.3
3,2007,3,4,16.1,22.8,10.4,9.8
4,2007,3,5,13.8,17.1,9.9,
5,2007,3,6,7.3,11.5,2.5,6.8
6,2007,3,7,4.5,10.2,0.9,4.8
7,2007,3,8,4.3,9.6,-0.1,5.5
8,2007,3,9,6.2,13.2,0.2,9.9
9,2007,3,10,8.3,14.7,1.4,5.4
10,2007,3,11,6.0,9.6,3.2,5.4
11,2007,3,12,4.7,9.7,2.1,6.0
12,2007,3,13,5.3,10.5,1.8,4.6
13,2007,3,14,6.0,11.7,0.7,7.0
14,2007,3,15,5.3,7.8,2.1,
15,2007,3,16,6.2,11.8,1.1,7.1
16,2007,3,17,5.8,10.2,2.6,7.6
17,2007,3,18,3.9,9.2,0.8,4.5
18,2007,3,19,4.0,9.6,-0.2,3.5
19,2007,3,20,4.9,9.9,1.4,5.0
20,2007,3,21,6.8,14.5,0.0,9.8
21,2007,3,22,9.0,17.0,2.6,6.2
22,2007,3,23,11.0,18.5,3.9,9.2
23,2007,3,24,11.4,14.1,8.6,
24,2007,3,25,13.3,17.7,7.7,3.0
25,2007,3,26,11.9,20.4,4.6,9.4
26,2007,3,27,10.6,13.4,7.9,
27,2007,3,28,12.9,20.4,7.6,7.8
28,2007,3,29,15.0,21.5,8.8,3.4
29,2007,3,30,12.3,17.2,6.5,0.9
30,2007,3,31,12.7,18.1,5.2,2.0
0,2007,4,1,15.5,18.8,13.3,0.8
1,2007,4,2,14.2,19.0,10.7,1.8
2,2007,4,3,8.9,13.5,4.2,4.1
3,2007,4,4,6.0,11.7,2.0,6.2
4,2007,4,5,7.3,13.0,2.5,6.9
5,2007,4,6,10.9,18.1,3.5,9.6
6,2007,4,7,10.9,14.6,6.5,0.8
7,2007,4,8,12.2,19.0,5.4,7.8
8,2007,4,9,11.7,17.2,7.2,9.0
9,2007,4,10,12.4,20.1,4.3,9.7
10,2007,4,11,12.8,20.2,8.0,7.6
11,2007,4,12,13.7,21.4,6.2,10.6
12,2007,4,13,16.4,23.2,9.8,2.0
13,2007,4,14,14.8,20.1,9.6,9.5
14,2007,4,15,13.9,20.8,7.7,9.5
15,2007,4,16,12.7,15.7,10.7,0.2
16,2007,4,17,11.9,17.6,8.9,4.5
17,2007,4,18,9.3,13.5,7.3,
18,2007,4,19,12.7,20.0,7.3,10.0
19,2007,4,20,15.1,22.3,6.0,9.3
20,2007,4,21,19.6,24.5,15.1,5.9
21,2007,4,22,18.8,20.9,15.5,
22,2007,4,23,14.0,17.3,9.8,1.6
23,2007,4,24,15.3,22.2,8.6,7.1
24,2007,4,25,14.5,18.7,9.4,0.5
25,2007,4,26,13.6,21.8,7.4,8.4
26,2007,4,27,14.5,20.3,7.5,9.4
27,2007,4,28,16.0,22.3,11.1,8.4
28,2007,4,29,16.4,25.2,7.2,12.5
29,2007,4,30,19.1,26.9,9.7,11.2
0,2007,5,1,16.0,19.9,13.4,
1,2007,5,2,16.8,23.0,12.3,4.8
2,2007,5,3,17.1,24.0,10.2,8.4
3,2007,5,4,20.2,26.3,13.0,10.6
4,2007,5,5,21.2,26.5,16.3,6.4
5,2007,5,6,17.4,19.6,16.4,
6,2007,5,7,19.1,25.2,14.6,9.1
7,2007,5,8,20.6,28.6,12.3,11.6
8,2007,5,9,22.8,31.7,14.5,9.6
9,2007,5,10,15.8,21.4,11.8,0.7
10,2007,5,11,15.3,20.8,10.7,11.5
11,2007,5,12,17.6,25.3,8.9,9.7
12,2007,5,13,19.3,24.8,12.9,6.6
13,2007,5,14,18.6,26.6,10.5,11.2
14,2007,5,15,18.4,25.5,12.9,9.5
15,2007,5,16,17.3,22.8,10.7,2.5
16,2007,5,17,18.9,24.5,15.0,4.5
17,2007,5,18,19.3,25.8,13.1,1.6
18,2007,5,19,16.5,21.9,12.9,4.6
19,2007,5,20,14.2,18.5,10.3,2.6
20,2007,5,21,17.5,26.0,8.3,11.9
21,2007,5,22,21.5,28.6,14.5,11.1
22,2007,5,23,22.7,30.1,15.1,11.8
23,2007,5,24,23.1,29.9,17.6,11.7
24,2007,5,25,19.8,21.7,18.1,
25,2007,5,26,22.2,29.3,16.0,10.0
26,2007,5,27,20.9,29.3,15.1,10.7
27,2007,5,28,18.7,23.8,14.4,7.2
28,2007,5,29,19.9,24.8,16.4,4.2
29,2007,5,30,18.3,22.1,15.9,2.6
30,2007,5,31,17.8,21.1,14.9,3.2
0,2007,6,1,18.8,23.8,15.1,3.4
1,2007,6,2,21.7,28.2,16.3,7.2
2,2007,6,3,21.0,23.5,18.9,
3,2007,6,4,22.4,28.9,16.4,7.9
4,2007,6,5,22.4,28.5,18.0,7.0
5,2007,6,6,23.6,28.9,19.6,6.0
6,2007,6,7,24.3,30.1,19.5,9.1
7,2007,6,8,21.5,26.3,17.3,1.6
8,2007,6,9,18.7,22.4,16.6,0.9
9,2007,6,10,19.0,23.7,15.5,3.4
10,2007,6,11,21.8,27.9,14.3,8.3
11,2007,6,12,24.2,30.9,17.7,10.0
12,2007,6,13,24.7,29.4,20.1,4.1
13,2007,6,14,21.1,23.5,19.6,
14,2007,6,15,21.4,23.6,19.6,0.3
15,2007,6,16,22.8,30.1,16.8,12.7
16,2007,6,17,24.2,30.3,16.7,6.3
17,2007,6,18,20.6,23.1,18.4,
18,2007,6,19,23.5,27.0,19.2,3.8
19,2007,6,20,25.4,30.6,21.3,6.4
20,2007,6,21,25.3,30.7,20.9,3.4
21,2007,6,22,23.6,25.0,21.6,
22,2007,6,23,25.5,30.7,21.1,11.0
23,2007,6,24,20.6,23.6,18.6,
24,2007,6,25,23.0,29.7,18.6,1.8
25,2007,6,26,24.9,31.0,21.3,2.0
26,2007,6,27,26.1,31.4,21.9,6.2
27,2007,6,28,26.8,31.6,22.0,1.7
28,2007,6,29,27.2,32.0,25.0,0.2
29,2007,6,30,26.4,30.8,24.1,5.9
0,2007,7,1,24.3,27.7,21.9,0.3
1,2007,7,2,25.0,28.8,21.6,2.0
2,2007,7,3,25.7,30.9,23.2,1.8
3,2007,7,4,24.4,26.2,22.6,
4,2007,7,5,24.8,29.3,21.6,5.8
5,2007,7,6,24.3,29.3,21.3,2.1
6,2007,7,7,25.1,29.0,21.1,0.5
7,2007,7,8,25.7,30.4,21.8,2.4
8,2007,7,9,25.0,28.6,21.6,2.2
9,2007,7,10,21.9,23.2,20.9,
10,2007,7,11,24.5,27.7,21.9,
11,2007,7,12,24.1,26.2,22.5,0.2
12,2007,7,13,23.1,24.6,21.6,
13,2007,7,14,23.1,25.8,21.4,
14,2007,7,15,26.4,30.0,23.5,2.4
15,2007,7,16,24.0,28.0,22.2,1.0
16,2007,7,17,24.1,27.6,21.3,0.2
17,2007,7,18,24.9,29.0,21.4,1.9
18,2007,7,19,26.6,31.6,23.1,6.2
19,2007,7,20,25.3,28.7,23.2,
20,2007,7,21,25.1,27.3,23.0,
21,2007,7,22,25.8,29.1,23.8,0.1
22,2007,7,23,24.8,28.8,21.4,6.3
23,2007,7,24,26.5,34.0,18.9,13.2
24,2007,7,25,28.3,33.6,24.2,5.8
25,2007,7,26,28.6,32.8,25.1,4.1
26,2007,7,27,27.8,35.2,21.5,12.9
27,2007,7,28,28.8,35.6,22.7,8.1
28,2007,7,29,27.9,33.4,24.4,7.5
29,2007,7,30,24.3,29.4,20.1,6.2
30,2007,7,31,25.0,32.5,17.8,13.1
0,2007,8,1,27.4,33.4,20.8,9.7
1,2007,8,2,29.5,32.9,26.6,3.9
2,2007,8,3,28.3,32.0,26.2,1.2
3,2007,8,4,28.7,32.7,25.7,1.4
4,2007,8,5,29.4,35.6,25.1,7.4
5,2007,8,6,29.2,35.1,24.5,10.7
6,2007,8,7,29.1,34.6,25.2,7.8
7,2007,8,8,29.6,34.8,25.3,8.3
8,2007,8,9,29.7,35.3,24.7,10.4
9,2007,8,10,30.2,36.1,25.5,11.3
10,2007,8,11,30.5,37.7,25.6,11.6
11,2007,8,12,30.0,35.9,25.2,9.2
12,2007,8,13,30.2,35.7,26.4,6.7
13,2007,8,14,30.3,34.7,26.4,5.6
14,2007,8,15,31.0,36.5,26.6,4.0
15,2007,8,16,31.5,38.6,25.9,10.3
16,2007,8,17,30.6,37.7,25.7,10.0
17,2007,8,18,30.5,38.0,25.3,10.3
18,2007,8,19,29.9,37.1,25.4,6.9
19,2007,8,20,29.3,36.4,23.8,9.7
20,2007,8,21,30.1,35.2,26.0,5.0
21,2007,8,22,29.1,36.1,23.7,5.7
22,2007,8,23,25.7,29.8,22.7,0.5
23,2007,8,24,28.4,34.5,23.3,7.9
24,2007,8,25,29.4,36.3,24.6,9.2
25,2007,8,26,29.3,36.1,22.4,11.7
26,2007,8,27,29.9,35.8,24.1,8.9
27,2007,8,28,28.2,30.8,26.2,0.3
28,2007,8,29,27.0,30.7,23.7,1.0
29,2007,8,30,25.7,28.4,22.6,
30,2007,8,31,25.0,29.4,22.8,0.6
0,2007,9,1,26.3,31.7,21.5,8.3
1,2007,9,2,26.6,30.3,23.8,1.9
2,2007,9,3,27.5,32.8,24.5,4.9
3,2007,9,4,29.2,34.4,24.8,8.9
4,2007,9,5,29.3,34.0,24.6,6.8
5,2007,9,6,28.2,31.2,25.6,0.3
6,2007,9,7,29.0,33.8,26.6,2.1
7,2007,9,8,26.6,32.7,23.4,3.9
8,2007,9,9,26.9,32.3,23.1,1.5
9,2007,9,10,23.5,27.2,19.4,2.3
10,2007,9,11,23.6,32.2,16.7,5.4
11,2007,9,12,24.3,31.3,19.3,9.7
12,2007,9,13,25.5,31.2,20.5,9.0
13,2007,9,14,26.3,31.3,23.8,1.6
14,2007,9,15,27.8,32.7,24.4,3.8
15,2007,9,16,28.0,33.8,23.6,4.1
16,2007,9,17,29.1,34.4,24.9,7.0
17,2007,9,18,27.2,32.3,23.4,8.2
18,2007,9,19,27.2,32.0,22.5,1.8
19,2007,9,20,28.5,34.3,24.0,8.7
20,2007,9,21,27.9,32.9,23.7,5.5
21,2007,9,22,28.1,34.1,23.7,8.6
22,2007,9,23,26.4,30.5,24.0,1.5
23,2007,9,24,24.9,29.3,22.0,0.2
24,2007,9,25,23.6,29.7,19.6,5.1
25,2007,9,26,23.0,28.7,17.4,10.3
26,2007,9,27,24.9,28.3,21.7,0.4
27,2007,9,28,25.4,30.9,21.2,4.1
28,2007,9,29,19.9,21.8,17.3,
29,2007,9,30,18.8,20.2,17.1,
0,2007,1,1,20.8,24.9,17.4,0.6
1,2007,1,2,22.7,29.1,19.0,7.6
2,2007,1,3,22.1,25.3,19.7,
3,2007,1,4,23.4,28.8,17.9,7.2
4,2007,1,5,22.1,26.3,18.4,5.9
5,2007,1,6,20.6,27.7,15.7,10.8
6,2007,1,7,21.8,27.5,16.1,4.4
7,2007,1,8,21.8,24.5,19.7,
8,2007,1,9,19.3,22.3,17.2,0.1
9,2007,1,10,19.5,24.9,15.4,9.9
10,2007,1,11,18.6,24.8,15.2,3.9
11,2007,1,12,19.2,24.4,15.0,7.1
12,2007,1,13,19.6,24.7,16.7,4.0
13,2007,1,14,17.8,22.2,13.9,0.2
14,2007,1,15,17.8,23.6,13.8,7.6
15,2007,1,16,17.3,22.7,12.4,4.3
16,2007,1,17,17.9,24.2,12.8,10.3
17,2007,1,18,18.2,24.8,12.4,8.9
18,2007,1,19,16.5,18.7,13.9,
19,2007,1,20,15.5,20.1,11.2,8.3
20,2007,1,21,12.9,20.1,6.9,8.2
21,2007,1,22,14.8,21.8,8.7,8.4
22,2007,1,23,16.9,23.5,12.5,7.4
23,2007,1,24,16.9,23.7,9.8,10.1
24,2007,1,25,19.1,21.6,16.0,0.5
25,2007,1,26,19.6,22.8,17.9,
26,2007,1,27,18.4,20.6,16.1,
27,2007,1,28,17.7,23.2,13.3,9.3
28,2007,1,29,18.9,24.6,13.7,4.1
29,2007,1,30,17.3,21.9,14.0,2.1
30,2007,1,31,16.2,22.5,10.8,9.8
0,2007,1,1,15.4,16.9,13.5,
1,2007,1,2,14.6,18.5,10.8,3.7
2,2007,1,3,13.1,19.9,7.9,7.2
3,2007,1,4,14.1,21.0,8.0,6.4
4,2007,1,5,15.9,20.2,11.6,1.2
5,2007,1,6,16.3,18.7,14.9,
6,2007,1,7,15.1,20.9,10.1,7.5
7,2007,1,8,14.0,21.2,7.6,8.9
8,2007,1,9,16.2,21.8,11.2,2.7
9,2007,1,10,16.9,21.0,13.7,2.0
10,2007,1,11,14.8,18.4,11.6,2.6
11,2007,1,12,11.7,15.8,9.8,4.2
12,2007,1,13,13.0,18.4,9.8,4.3
13,2007,1,14,12.1,18.7,6.8,5.6
14,2007,1,15,13.5,20.3,7.4,8.6
15,2007,1,16,11.2,13.8,8.2,0.7
16,2007,1,17,10.4,17.5,4.4,9.4
17,2007,1,18,8.8,14.4,5.3,3.9
18,2007,1,19,6.5,10.9,3.4,4.5
19,2007,1,20,9.8,15.6,3.7,3.9
20,2007,1,21,8.7,12.9,5.7,5.4
21,2007,1,22,6.8,11.0,4.8,1.4
22,2007,1,23,7.2,13.1,4.1,4.8
23,2007,1,24,8.1,15.5,2.0,9.1
24,2007,1,25,10.0,17.8,4.1,9.1
25,2007,1,26,11.4,17.9,6.9,3.8
26,2007,1,27,11.4,14.4,8.8,0.1
27,2007,1,28,11.9,14.5,9.3,
28,2007,1,29,11.7,14.6,8.1,
29,2007,1,30,10.7,16.5,6.0,7.8
0,2007,1,1,9.8,16.5,6.0,6.3
1,2007,1,2,8.5,14.0,4.4,7.4
2,2007,1,3,8.7,13.1,5.6,1.3
3,2007,1,4,7.2,10.6,4.9,1.3
4,2007,1,5,6.4,11.3,1.8,6.8
5,2007,1,6,6.8,12.5,1.5,8.8
6,2007,1,7,9.3,13.9,5.2,2.4
7,2007,1,8,7.9,13.9,3.1,5.5
8,2007,1,9,7.1,12.0,3.6,3.2
9,2007,1,10,6.9,13.1,1.3,8.0
10,2007,1,11,8.3,9.3,6.8,
11,2007,1,12,10.5,14.0,7.4,0.7
12,2007,1,13,10.8,14.9,7.6,1.2
13,2007,1,14,7.6,10.6,5.0,4.3
14,2007,1,15,6.6,11.7,2.1,4.7
15,2007,1,16,5.5,9.1,2.4,2.5
16,2007,1,17,5.2,10.5,1.1,2.5
17,2007,1,18,7.2,12.5,3.2,4.6
18,2007,1,19,6.8,10.9,3.6,4.4
19,2007,1,20,6.5,12.9,2.1,8.4
20,2007,1,21,7.1,11.7,2.0,3.3
21,2007,1,22,8.3,9.0,7.8,
22,2007,1,23,10.8,14.6,8.0,2.3
23,2007,1,24,8.3,11.9,5.8,5.2
24,2007,1,25,6.8,10.4,4.4,
25,2007,1,26,7.5,14.2,3.1,8.1
26,2007,1,27,7.9,14.2,1.9,8.5
27,2007,1,28,9.4,11.9,6.9,
28,2007,1,29,11.1,13.6,7.8,
29,2007,1,30,5.4,9.5,1.3,4.9
30,2007,1,31,3.2,7.9,0.3,8.2
0,2008,1,1,2.5,6.4,-0.6,4.4
1,2008,1,2,4.3,8.5,1.2,5.3
2,2008,1,3,5.3,10.9,0.3,5.7
3,2008,1,4,6.1,11.5,2.8,5.5
4,2008,1,5,5.3,10.9,0.8,4.8
5,2008,1,6,5.7,12.4,0.5,8.7
6,2008,1,7,5.6,7.8,3.1,
7,2008,1,8,8.1,13.7,4.0,6.5
8,2008,1,9,8.7,13.9,4.2,8.1
9,2008,1,10,7.1,12.9,2.3,7.7
10,2008,1,11,7.9,12.4,2.6,2.4
11,2008,1,12,8.6,11.2,4.8,
12,2008,1,13,3.8,6.8,2.6,2.6
13,2008,1,14,3.1,5.6,1.4,0.3
14,2008,1,15,4.2,9.9,-0.5,9.2
15,2008,1,16,5.2,10.7,3.0,4.3
16,2008,1,17,2.7,5.8,1.3,3.2
17,2008,1,18,3.3,8.7,0.0,8.9
18,2008,1,19,3.4,8.6,-0.1,5.6
19,2008,1,20,2.5,5.1,1.1,
20,2008,1,21,4.3,7.4,1.7,
21,2008,1,22,4.5,7.5,1.1,0.2
22,2008,1,23,5.4,7.1,3.6,
23,2008,1,24,3.2,6.6,0.4,3.4
24,2008,1,25,1.9,5.7,-0.3,5.2
25,2008,1,26,2.1,6.2,0.5,3.1
26,2008,1,27,2.2,5.8,0.1,2.3
27,2008,1,28,2.4,5.8,-0.4,0.4
28,2008,1,29,4.1,6.0,2.2,
29,2008,1,30,6.2,8.8,4.1,0.9
30,2008,1,31,4.3,8.1,1.7,1.3
0,2008,2,1,3.4,7.1,1.1,4.9
1,2008,2,2,3.1,6.9,1.0,
2,2008,2,3,2.8,5.4,0.6,
3,2008,2,4,4.1,9.8,0.9,3.1
4,2008,2,5,4.1,7.9,1.2,3.6
5,2008,2,6,4.3,8.1,0.5,1.9
6,2008,2,7,3.3,8.0,0.7,3.9
7,2008,2,8,2.8,8.2,0.1,3.6
8,2008,2,9,0.8,2.3,-0.1,
9,2008,2,10,3.9,10.6,0.4,5.5
10,2008,2,11,5.7,12.3,0.1,9.3
11,2008,2,12,4.2,7.2,0.5,0.2
12,2008,2,13,0.2,3.9,-1.9,3.9
13,2008,2,14,2.8,7.0,-1.2,5.9
14,2008,2,15,3.6,8.6,0.4,5.1
15,2008,2,16,2.6,6.6,0.5,3.7
16,2008,2,17,1.5,6.0,-0.1,4.7
17,2008,2,18,2.4,6.6,-0.7,1.2
18,2008,2,19,4.6,10.0,1.3,6.3
19,2008,2,20,5.6,11.7,0.0,7.3
20,2008,2,21,6.4,13.2,1.3,9.6
21,2008,2,22,7.2,14.3,1.3,6.5
22,2008,2,23,4.9,12.1,-1.3,4.5
23,2008,2,24,0.3,4.3,-2.2,3.3
24,2008,2,25,2.0,6.8,-1.4,5.4
25,2008,2,26,4.2,6.5,1.9,
26,2008,2,27,2.8,6.7,0.5,5.2
27,2008,2,28,4.1,9.4,0.8,6.7
28,2008,2,29,5.6,12.2,-0.8,5.5
0,2008,3,1,6.0,10.4,3.5,3.1
1,2008,3,2,6.6,11.9,1.1,5.6
2,2008,3,3,6.4,11.2,4.0,3.0
3,2008,3,4,5.0,9.0,2.0,1.7
4,2008,3,5,3.6,8.4,1.0,7.6
5,2008,3,6,4.7,10.3,-0.6,4.7
6,2008,3,7,5.6,11.7,1.7,5.2
7,2008,3,8,5.4,12.3,0.4,6.8
8,2008,3,9,8.8,16.5,0.2,9.8
9,2008,3,10,10.3,15.3,6.2,3.6
10,2008,3,11,10.6,19.9,3.6,10.3
11,2008,3,12,12.0,19.9,5.3,9.4
12,2008,3,13,13.0,17.0,8.4,5.4
13,2008,3,14,12.4,14.6,9.3,
14,2008,3,15,9.9,16.6,5.6,5.8
15,2008,3,16,10.8,19.2,3.6,9.7
16,2008,3,17,11.4,19.0,5.0,10.4
17,2008,3,18,12.5,20.6,4.0,9.0
18,2008,3,19,12.5,13.9,10.5,
19,2008,3,20,10.6,11.6,9.5,
20,2008,3,21,11.8,16.9,9.0,8.9
21,2008,3,22,12.3,21.6,5.0,9.4
22,2008,3,23,13.4,19.2,8.0,
23,2008,3,24,13.6,19.1,8.1,5.9
24,2008,3,25,12.6,19.2,5.8,10.9
25,2008,3,26,10.8,16.4,6.1,3.8
26,2008,3,27,9.5,15.7,3.5,8.6
27,2008,3,28,9.8,14.8,6.2,5.9
28,2008,3,29,9.0,14.2,5.6,5.7
29,2008,3,30,7.9,11.4,6.0,0.6
30,2008,3,31,8.0,11.8,4.9,6.5
0,2008,4,1,7.5,12.8,4.2,3.5
1,2008,4,2,9.9,16.1,2.9,6.7
2,2008,4,3,11.8,18.3,6.0,8.4
3,2008,4,4,11.0,18.4,4.6,7.7
4,2008,4,5,12.5,20.6,4.7,8.3
5,2008,4,6,13.9,21.7,6.0,11.0
6,2008,4,7,12.7,15.4,10.9,0.2
7,2008,4,8,13.3,16.6,10.8,0.8
8,2008,4,9,14.5,20.7,7.7,5.1
9,2008,4,10,13.4,14.6,12.2,
10,2008,4,11,13.0,14.9,11.7,0.1
11,2008,4,12,13.1,18.2,9.5,5.7
12,2008,4,13,13.6,20.2,7.4,2.2
13,2008,4,14,13.8,18.7,9.4,2.6
14,2008,4,15,14.9,23.2,6.5,10.8
15,2008,4,16,16.3,20.7,11.0,0.3
16,2008,4,17,15.0,17.3,13.9,
17,2008,4,18,14.5,16.2,12.9,
18,2008,4,19,14.5,18.6,12.5,1.3
19,2008,4,20,15.6,21.0,11.8,10.0
20,2008,4,21,16.5,25.4,9.6,11.5
21,2008,4,22,18.1,26.0,10.2,11.8
22,2008,4,23,19.4,26.0,13.3,6.3
23,2008,4,24,14.6,18.5,10.0,
24,2008,4,25,12.9,18.7,8.5,6.7
25,2008,4,26,15.3,22.9,6.6,8.0
26,2008,4,27,16.1,21.3,12.9,6.9
27,2008,4,28,15.5,21.4,11.3,8.4
28,2008,4,29,17.8,25.5,9.5,11.4
29,2008,4,30,20.4,28.4,13.2,11.5
0,2008,5,1,19.8,24.1,15.1,2.5
1,2008,5,2,20.3,24.9,16.3,0.4
2,2008,5,3,21.3,30.7,14.2,12.2
3,2008,5,4,21.9,30.1,14.9,9.8
4,2008,5,5,19.4,22.5,12.6,
5,2008,5,6,17.5,25.7,9.2,12.4
6,2008,5,7,19.8,27.3,11.5,11.3
7,2008,5,8,21.1,28.7,14.3,6.1
8,2008,5,9,18.5,23.3,14.9,0.2
9,2008,5,10,12.2,15.4,10.6,
10,2008,5,11,13.3,18.3,9.9,1.7
11,2008,5,12,15.0,20.4,7.6,6.2
12,2008,5,13,16.7,23.7,12.8,4.1
13,2008,5,14,16.3,22.3,11.9,4.3
14,2008,5,15,16.6,24.0,8.8,12.9
15,2008,5,16,19.2,25.9,11.2,10.9
16,2008,5,17,20.3,26.8,15.3,10.9
17,2008,5,18,20.2,27.5,12.6,8.3
18,2008,5,19,19.8,23.2,17.3,0.1
19,2008,5,20,18.5,23.3,14.6,6.7
20,2008,5,21,19.0,26.5,11.4,12.3
21,2008,5,22,21.0,27.5,13.9,9.5
22,2008,5,23,23.4,29.9,17.9,11.0
23,2008,5,24,19.6,23.2,17.4,
24,2008,5,25,20.9,25.7,17.1,0.6
25,2008,5,26,22.8,30.4,17.1,10.3
26,2008,5,27,21.1,29.7,13.7,12.5
27,2008,5,28,21.9,28.3,16.1,4.9
28,2008,5,29,19.7,23.1,17.1,1.7
29,2008,5,30,21.2,24.7,18.9,
30,2008,5,31,19.1,21.5,16.3,0.3
0,2008,6,1,20.4,27.9,12.3,10.8
1,2008,6,2,18.5,20.5,15.6,
2,2008,6,3,18.4,22.4,15.5,
3,2008,6,4,21.0,27.1,16.2,4.5
4,2008,6,5,19.6,21.5,18.1,
5,2008,6,6,20.5,25.4,17.1,2.3
6,2008,6,7,21.6,26.4,15.5,5.2
7,2008,6,8,22.8,28.8,18.1,4.6
8,2008,6,9,21.2,26.7,16.5,2.9
9,2008,6,10,23.0,29.9,14.8,9.9
10,2008,6,11,23.5,27.5,20.4,0.1
11,2008,6,12,21.2,27.8,17.1,7.8
12,2008,6,13,23.0,31.3,13.6,13.3
13,2008,6,14,22.2,29.4,17.6,8.8
14,2008,6,15,20.5,24.0,16.7,0.1
15,2008,6,16,23.2,28.7,18.8,4.4
16,2008,6,17,23.9,31.3,17.0,11.1
17,2008,6,18,24.1,28.6,18.8,1.5
18,2008,6,19,23.3,26.1,21.6,
19,2008,6,20,22.8,25.8,21.2,
20,2008,6,21,24.1,28.0,21.1,
21,2008,6,22,23.7,27.7,20.8,
22,2008,6,23,21.4,23.8,19.9,
23,2008,6,24,23.4,28.9,18.1,6.7
24,2008,6,25,23.7,28.2,20.3,1.6
25,2008,6,26,23.2,27.6,21.0,2.5
26,2008,6,27,23.7,28.8,20.0,2.8
27,2008,6,28,23.8,27.1,21.3,0.3
28,2008,6,29,23.4,26.3,21.2,0.0
29,2008,6,30,22.5,25.1,19.5,2.7
0,2008,7,1,24.2,30.4,19.0,8.6
1,2008,7,2,26.0,31.4,21.2,5.2
2,2008,7,3,27.2,32.5,24.4,1.6
3,2008,7,4,28.4,33.0,24.6,7.3
4,2008,7,5,28.6,33.9,23.9,9.8
5,2008,7,6,28.9,33.6,24.9,3.9
6,2008,7,7,29.0,33.1,26.2,1.2
7,2008,7,8,26.5,31.1,24.0,2.8
8,2008,7,9,26.3,30.6,23.2,5.7
9,2008,7,10,26.4,30.6,22.7,4.7
10,2008,7,11,27.4,32.4,24.5,2.9
11,2008,7,12,28.5,33.7,24.5,5.2
12,2008,7,13,29.0,35.0,24.2,5.7
13,2008,7,14,28.2,35.0,25.4,5.7
14,2008,7,15,27.7,33.0,24.8,3.5
15,2008,7,16,27.4,31.8,23.7,1.0
16,2008,7,17,28.9,35.1,23.0,8.6
17,2008,7,18,28.7,33.8,25.6,1.7
18,2008,7,19,29.7,35.3,24.1,10.0
19,2008,7,20,30.4,37.4,25.4,8.1
20,2008,7,21,30.6,35.9,26.7,6.5
21,2008,7,22,30.7,36.4,27.0,8.0
22,2008,7,23,30.8,36.2,27.1,9.5
23,2008,7,24,31.3,37.3,26.3,11.0
24,2008,7,25,31.3,37.7,26.1,12.4
25,2008,7,26,31.3,37.5,26.2,12.4
26,2008,7,27,30.3,36.5,27.0,5.3
27,2008,7,28,26.1,34.7,23.1,3.1
28,2008,7,29,26.2,31.2,22.8,4.3
29,2008,7,30,28.8,34.4,23.7,10.0
30,2008,7,31,28.1,34.6,22.8,4.8
0,2008,8,1,29.6,34.9,24.5,8.5
1,2008,8,2,30.0,34.5,26.4,3.4
2,2008,8,3,30.9,36.1,26.4,10.5
3,2008,8,4,30.0,34.7,27.1,3.4
4,2008,8,5,29.6,36.3,26.0,7.4
5,2008,8,6,28.9,35.8,25.2,7.0
6,2008,8,7,30.0,34.9,24.8,6.7
7,2008,8,8,30.1,34.9,26.5,2.8
8,2008,8,9,29.3,36.4,25.2,4.9
9,2008,8,10,29.7,35.4,24.1,10.0
10,2008,8,11,30.4,36.2,26.0,6.3
11,2008,8,12,30.5,37.0,25.5,11.7
12,2008,8,13,30.5,35.8,26.1,9.8
13,2008,8,14,29.8,34.7,26.8,4.3
14,2008,8,15,31.0,36.4,27.1,8.7
15,2008,8,16,29.2,34.8,26.6,4.3
16,2008,8,17,27.7,32.2,23.5,7.3
17,2008,8,18,28.1,33.9,22.2,5.4
18,2008,8,19,29.5,34.7,26.7,3.9
19,2008,8,20,27.2,33.7,22.5,6.7
20,2008,8,21,24.5,30.3,21.5,5.0
21,2008,8,22,25.0,31.1,18.7,7.6
22,2008,8,23,24.0,26.3,22.6,0.0
23,2008,8,24,25.2,30.1,22.0,3.5
24,2008,8,25,22.9,28.1,20.0,3.2
25,2008,8,26,24.9,27.2,21.6,0.0
26,2008,8,27,26.5,30.2,24.9,0.7
27,2008,8,28,26.4,29.3,24.3,0.4
28,2008,8,29,25.8,29.7,23.1,0.8
29,2008,8,30,24.1,27.4,22.6,0.0
30,2008,8,31,27.7,33.3,22.5,7.7
0,2008,9,1,28.5,33.5,25.4,5.3
1,2008,9,2,27.7,33.7,25.4,1.7
2,2008,9,3,26.6,30.6,24.5,1.9
3,2008,9,4,25.9,31.3,22.5,3.8
4,2008,9,5,26.6,30.8,23.6,1.8
5,2008,9,6,27.7,32.4,23.5,5.2
6,2008,9,7,26.7,32.5,23.4,7.0
7,2008,9,8,25.6,30.7,21.7,8.5
8,2008,9,9,24.6,31.1,18.9,11.5
9,2008,9,10,25.7,31.3,19.6,8.3
10,2008,9,11,26.0,32.4,21.3,9.9
11,2008,9,12,26.3,33.5,19.8,8.0
12,2008,9,13,25.9,31.1,22.0,4.9
13,2008,9,14,26.4,32.0,21.8,6.5
14,2008,9,15,23.0,25.7,20.6,0.0
15,2008,9,16,24.2,29.9,20.5,6.4
16,2008,9,17,25.5,31.0,19.5,6.7
